,2022_05_09T11_13_38_coda,2022_05_09T11_13_38_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2018_11_18T12_48_44_coda,2018_11_18T12_48_44_envelope,2023_06_16T16_38_28_coda,2023_06_16T16_38_28_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
RSP,3.204281396235853e-10,2.1727085565013715e-10,1.8107467521778608e-10,2.430460893453771e-10,0.0,0.0,2.905561013232306e-09,8.989867713958045e-09,3.661305117267102e-10,8.286187178220056e-10
SURF,1.0565359013710486e-10,6.606657666917451e-11,2.0019818702895567e-10,2.579673329241653e-10,2.6611845262538904e-10,3.14649346286403e-10,3.946633541797082e-09,1.0757155914954143e-08,2.176949505756744e-10,3.909711611686957e-10
CI20,6.830371575575405e-10,5.608296480102464e-10,0.0,0.0,3.9130631832208875e-10,4.693586034818807e-10,2.4488166610602994e-09,7.722210369126771e-09,0.0,0.0
ETSF,1.3514758464134846e-10,6.473848853180294e-11,0.0,0.0,0.0,0.0,3.6487350250048485e-09,1.1208153707249472e-08,0.0,0.0
DAVA,3.85796603241684e-10,2.5923516982001193e-10,6.923177207004441e-10,9.050150144192983e-10,6.18805553293503e-10,6.617718155883422e-10,1.0710995430745044e-08,3.238006020813897e-08,6.560968751005169e-10,2.564753321158713e-09
ISO,9.064940018431966e-11,5.065698521143026e-11,1.4158791619447475e-10,1.8380719385525216e-10,2.4700100945996627e-10,3.0126498568504056e-10,2.046682047222573e-09,6.613610399835553e-09,2.2515690106624206e-10,3.5394206666902033e-10
XBFO,2.3911997056729434e-10,1.1816897340965152e-10,0.0,0.0,3.9226559731830007e-10,4.1488478868624255e-10,6.1043515791158005e-09,2.40414110954333e-08,0.0,0.0
CARA,1.7241291962807458e-10,9.753529819181544e-11,4.813203378965486e-10,6.51818903847468e-10,0.0,0.0,5.016253650208959e-09,1.3284685748289021e-08,0.0,0.0
STV,4.5476591744166876e-10,2.1267074051115547e-10,2.19681662848423e-10,2.8238834737960456e-10,0.0,0.0,3.660412027908583e-09,9.699196383623473e-09,2.892026614678256e-10,5.197154565820342e-10
BANN,1.4161027085396338e-10,7.54679241370814e-11,2.910534520516365e-10,3.983260838141984e-10,0.0,0.0,4.8094374154424255e-09,1.2201660689494138e-08,0.0,0.0
