,2012_01_27T14_53_13_coda,2012_01_27T14_53_13_envelope,2022_03_12T17_03_22_coda,2022_03_12T17_03_22_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
FAGN,5.587727334876264e-09,1.686536831657229e-09,2.4533653412743e-09,9.412634978376399e-10,0.0,0.0,0.0,0.0
FDMO,4.096508891232969e-09,1.0272531806036827e-09,1.7330801671980475e-10,8.599543918445289e-11,1.1713571516925975e-10,1.5308356797947904e-10,0.0,0.0
TRIB,6.8662090019983895e-09,2.171771560899857e-09,0.0,0.0,0.0,0.0,0.0,0.0
DOI,3.577427969475938e-09,1.186706311242382e-09,0.0,0.0,0.0,0.0,3.959730185551371e-10,7.548354532867205e-10
MTSN,2.4203604942762152e-09,7.864248193267572e-10,0.0,0.0,0.0,0.0,0.0,0.0
MCRV,2.2370897478439088e-09,6.67619385642169e-10,0.0,0.0,0.0,0.0,0.0,0.0
PF03,2.293143125624954e-09,8.18206992769717e-10,0.0,0.0,0.0,0.0,0.0,0.0
OG35,2.725393759374436e-09,7.767424978367282e-10,0.0,0.0,0.0,0.0,2.4310404314790605e-10,6.218154860543792e-10
POFI,3.459486615858497e-09,8.001455349845869e-10,0.0,0.0,0.0,0.0,0.0,0.0
ROBS,4.214754885730399e-09,1.156848470266001e-09,3.6866180376106415e-10,1.2295423317347832e-10,2.748758727513816e-10,3.6077930889237207e-10,0.0,0.0
TNS,9.271571773260417e-09,2.496306019735288e-09,0.0,0.0,0.0,0.0,0.0,0.0
PF11B,5.493035962765447e-09,1.70180329957055e-09,0.0,0.0,0.0,0.0,0.0,0.0
ZUR,6.080537470492577e-09,2.174268591504972e-09,6.7807528719265425e-09,5.904953352859686e-10,0.0,0.0,6.659513854407289e-10,1.7270241645510954e-09
STV,2.3607616315212328e-09,7.083925216982385e-10,0.0,0.0,2.19681662848423e-10,2.8238834737960456e-10,2.892026614678256e-10,5.197154565820342e-10
PF04,1.8230438975550598e-09,7.110646716440595e-10,0.0,0.0,0.0,0.0,0.0,0.0
ROHR,8.174833601019588e-09,2.453879217954361e-09,0.0,0.0,0.0,0.0,0.0,0.0
FNEB,7.672445542499768e-09,2.760914796542131e-09,1.804489413732e-09,9.561250347732592e-10,1.031629999445602e-09,1.3307277870694303e-09,0.0,0.0
GED4,1.0484764794564779e-10,2.886908782638163e-11,0.0,0.0,0.0,0.0,0.0,0.0
DOU,5.642100033037793e-09,1.7823846211823402e-09,0.0,0.0,7.230151190228424e-10,9.91038837337742e-10,7.877332761210351e-10,2.9321681267250037e-09
CONA,9.011104952134406e-09,2.607582951259603e-09,0.0,0.0,7.587247098037011e-10,1.020826228431201e-09,0.0,0.0
RMP,1.0612274871813934e-08,5.357203430473828e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY12B,2.2468103507970242e-09,9.294133996944155e-10,0.0,0.0,0.0,0.0,2.857651222602009e-10,6.431569053482307e-10
PLN,1.0937391282670844e-08,2.6859215622324704e-09,0.0,0.0,0.0,0.0,0.0,0.0
PTRJ,2.175943150714276e-09,6.777751182863041e-10,0.0,0.0,0.0,0.0,0.0,0.0
MTT2,2.6544039377061083e-09,9.060450700779003e-10,0.0,0.0,0.0,0.0,0.0,0.0
MIDA,1.447388944929934e-09,4.3102707149944176e-10,0.0,0.0,0.0,0.0,0.0,0.0
PF02,2.249772670165057e-09,6.904243392952809e-10,0.0,0.0,0.0,0.0,0.0,0.0
KBA,5.687961438334273e-09,1.8727050252324244e-09,6.210123776281494e-10,1.7945780551478594e-10,4.4507170292327207e-10,5.64754505811921e-10,0.0,0.0
SGRT,4.703175049929643e-09,1.540002039063177e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRB3,1.6259295410656057e-08,4.462717639653909e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRB2,1.6822267176524726e-08,4.813346778357053e-09,0.0,0.0,0.0,0.0,0.0,0.0
GIUL,2.1585986358180793e-09,6.24464859756676e-10,0.0,0.0,0.0,0.0,0.0,0.0
WERN,7.183780450426796e-09,2.579924780216608e-09,0.0,0.0,0.0,0.0,0.0,0.0
ARCI,9.83033284910847e-10,3.6101442411377187e-10,1.6738337358478278e-10,8.252132567725149e-11,9.00870410105498e-11,1.1558560024548834e-10,0.0,0.0
VULT,7.57559071947333e-09,2.09854775426348e-09,0.0,0.0,0.0,0.0,0.0,0.0
SSFR,2.908448348068454e-09,8.631572310538553e-10,4.551019435848299e-10,2.2861862378391208e-10,7.337080654283362e-10,9.45529275213681e-10,0.0,0.0
VITZ,1.5141030784424142e-08,4.709112190768823e-09,0.0,0.0,0.0,0.0,0.0,0.0
SATI,5.171005544959539e-09,1.3356558863021147e-09,0.0,0.0,0.0,0.0,3.403584223417364e-10,1.0550702305600531e-09
GEB4,1.0844667810760756e-10,3.1071939581123923e-11,0.0,0.0,0.0,0.0,0.0,0.0
RUSF,2.767325745628738e-09,8.952008739345063e-10,0.0,0.0,5.173015181566273e-10,6.63662487255536e-10,5.520034178660111e-10,9.080047273022719e-10
PY23,4.452964659293264e-09,1.468089053379461e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY37,2.819697874762848e-09,1.1179649510333602e-09,0.0,0.0,0.0,0.0,0.0,0.0
EMV,2.266502308948072e-09,8.74755009639753e-10,0.0,0.0,0.0,0.0,0.0,0.0
GRC2,1.2238505340678248e-08,4.3500461096873776e-09,0.0,0.0,0.0,0.0,0.0,0.0
TORNY,5.013358216953689e-09,1.432604529484022e-09,0.0,0.0,0.0,0.0,0.0,0.0
FVI,6.240900471600707e-09,1.7855664596342435e-09,5.273617637156555e-10,1.2920229765733772e-10,0.0,0.0,0.0,0.0
ABTA,6.038336641019899e-09,1.991318383083282e-09,4.629891145038161e-10,1.5088607238785311e-10,6.849763425679273e-10,8.805942450150485e-10,0.0,0.0
EMBD,2.888119013171817e-09,9.229865784046547e-10,0.0,0.0,0.0,0.0,2.5776240897366007e-10,7.009894326817301e-10
SNAL,7.559402620145106e-09,2.2641031424637798e-09,0.0,0.0,0.0,0.0,0.0,0.0
MOZS,4.913736505141331e-09,1.510924301336713e-09,5.00214306219221e-10,1.6674234531145448e-10,4.2693760659609236e-10,5.563466808563268e-10,0.0,0.0
GEC1,1.1530936744240516e-10,3.517221006987444e-11,0.0,0.0,0.0,0.0,0.0,0.0
PERS,3.9713944585911264e-09,1.222369832009416e-09,0.0,0.0,4.1212775801137964e-10,5.443702516636581e-10,0.0,0.0
HWTS,1.0360791406785242e-08,2.572147189509645e-09,0.0,0.0,0.0,0.0,0.0,0.0
NEUB,2.193293414396665e-08,5.131293827571241e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY16,3.542980120106183e-09,1.196328451818564e-09,0.0,0.0,0.0,0.0,0.0,0.0
