time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2025-01-12T13:51:40.650Z,46.3988,12.766,8.867,4.3,mb,34,45,0.239,1,us,us6000pjjz,2025-02-13T20:16:34.040Z,"2 km SW of Ampezzo, Italy",earthquake,2.94,5.95,0.376,2,reviewed,us,us
2024-06-04T00:34:32.581Z,47.0847,8.7955,5,4.2,mb,38,76,0.721,1.09,us,us7000mq5x,2024-08-16T21:59:23.040Z,"2 km NNW of Unteriberg, Switzerland",earthquake,2.67,1.801,0.086,38,reviewed,us,us
2024-03-27T21:19:37.385Z,46.3313,12.8741,10.179,4.3,mwr,104,33,0.298,0.62,us,us7000m8em,2024-06-01T21:55:47.040Z,"6 km ENE of Tramonti di Sopra, Italy",earthquake,4.61,4.069,0.047,43,reviewed,us,us
2024-02-17T00:23:29.997Z,44.675,10.3817,31.637,4.1,mb,37,97,0.535,0.36,us,us7000lzs8,2024-04-24T14:42:04.040Z,"3 km SE of Basilicanova, Italy",earthquake,5.15,5.058,0.186,8,reviewed,us,us
2024-02-09T12:06:22.712Z,44.6852,10.3074,24.964,4.2,mwr,64,75,0.584,0.53,us,us7000lxz4,2024-04-20T19:34:38.040Z,"1 km ENE of Pilastro, Italy",earthquake,4.9,6.152,,,reviewed,us,zamg
2023-11-21T05:52:05.341Z,44.4556,6.8591,6.606,4.1,mb,31,91,0.61,0.73,us,us6000lprc,2024-02-01T15:13:41.040Z,"10 km WSW of Acceglio, Italy",earthquake,2.16,4.973,0.174,9,reviewed,us,us
2023-10-28T15:29:22.789Z,44.9959,11.4938,10,4.1,mb,45,26,0.743,0.76,us,us7000l77d,2024-01-04T04:22:39.040Z,"2 km SSW of Bagnolo di Po, Italy",earthquake,4.36,1.973,0.521,1,reviewed,us,us
2023-09-18T03:10:14.744Z,44.0201,11.6768,10,5.1,mww,110,26,0.586,0.65,us,us7000kwdw,2023-12-02T23:01:07.040Z,"7 km SE of Marradi, Italy",earthquake,3.84,1.769,0.045,48,reviewed,us,us
2023-09-18T02:38:03.893Z,44.0545,11.6631,14.926,4.2,mb,37,70,0.576,0.72,us,us7000kwdq,2023-12-02T23:01:06.040Z,"4 km ESE of Marradi, Italy",earthquake,3.59,2.022,0.187,8,reviewed,us,us
2023-06-16T16:38:28.069Z,46.2145,-0.7295,5,4.8,mww,71,70,3.884,0.94,us,us7000k90p,2024-08-13T14:32:28.885Z,"5 km WNW of Mauzé-sur-le-Mignon, France",earthquake,6.97,1.854,0.051,37,reviewed,us,us
2023-05-16T06:24:21.041Z,44.5555,6.811,8.462,4.1,mb,36,122,0.505,0.38,us,us6000kc87,2023-07-24T01:16:38.040Z,"16 km W of Pleyne, Italy",earthquake,3.9,5.085,0.174,9,reviewed,us,us
2023-03-22T14:50:33.025Z,47.3957,6.7567,11.8,4.4,mb,67,68,0.865,0.44,us,us7000jlxj,2024-07-09T15:05:49.915Z,"1 km NW of Pont-de-Roide, France",earthquake,3.25,4.825,0.202,8,reviewed,us,us
2023-03-09T19:13:57.305Z,43.2648,12.336,2.838,4.2,mb,66,47,0.138,1.01,us,us7000jil2,2023-05-15T02:49:42.040Z,"4 km S of Umbertide, Italy",earthquake,5.39,2.527,0.159,11,reviewed,us,us
2023-03-09T19:08:07.123Z,43.2824,12.3414,10,4.5,mwr,110,32,0.135,0.79,us,us7000jiky,2023-05-15T02:49:42.040Z,"2 km S of Umbertide, Italy",earthquake,4.85,1.845,0.043,53,reviewed,us,us
