Time,Available,Not Available,Not Listed
2025-01-12T13:51:40.650Z,0,0,1
2024-06-04T00:34:32.581Z,0,0,1
2024-03-27T21:19:37.385Z,0,0,1
2024-02-17T00:23:29.997Z,0,0,1
2024-02-09T12:06:22.712Z,0,0,1
2023-11-21T05:52:05.341Z,0,0,1
2023-10-28T15:29:22.789Z,0,0,1
2023-09-18T03:10:14.744Z,0,0,1
2023-09-18T02:38:03.893Z,0,0,1
2023-06-16T16:38:28.069Z,0,0,1
2023-05-16T06:24:21.041Z,0,0,1
2023-03-22T14:50:33.025Z,0,0,1
2023-03-09T19:13:57.305Z,0,0,1
2023-03-09T19:08:07.123Z,0,0,1
2023-03-09T15:05:40.913Z,0,0,1
2023-01-28T05:32:50.156Z,0,0,1
2023-01-26T10:45:41.139Z,0,0,1
2022-12-05T14:43:29.273Z,0,0,1
2022-11-08T15:23:23.651Z,0,0,1
2022-09-22T15:47:58.549Z,0,0,1
2022-09-22T13:40:00.345Z,0,0,1
2022-07-09T11:47:29.334Z,0,0,1
2022-05-09T11:13:38.180Z,0,0,1
2022-04-19T15:49:07.097Z,0,0,1
2022-03-12T17:03:22.558Z,0,0,1
2022-02-09T20:00:56.574Z,0,0,1
2022-02-09T18:55:12.103Z,0,0,1
2022-02-06T01:36:38.358Z,0,0,1
2021-12-24T23:59:55.857Z,0,0,1
2021-12-18T10:34:47.765Z,0,0,1
2021-10-05T05:39:25.163Z,0,0,1
2021-06-26T03:00:24.851Z,0,0,1
2021-05-15T07:56:02.685Z,0,0,1
2021-02-22T12:04:06.461Z,0,0,1
2020-12-29T14:36:56.473Z,0,0,1
2020-12-17T15:59:19.921Z,0,0,1
2020-10-25T19:35:44.663Z,0,0,1
2020-07-13T12:06:54.446Z,0,0,1
2020-04-16T09:42:53.444Z,0,0,1
2019-12-09T03:37:05.362Z,0,0,1
2019-11-11T10:52:46.534Z,0,0,1
2019-08-13T11:17:18.562Z,0,0,1
2019-06-21T06:50:55.241Z,0,0,1
2019-03-20T09:56:40.910Z,0,0,1
2019-01-14T23:03:56.390Z,0,0,1
2018-11-18T12:48:44.790Z,0,0,1
2018-08-21T00:33:46.640Z,0,0,1
2018-05-03T18:46:05.050Z,0,0,1
2018-05-01T05:16:59.270Z,0,0,1
2018-03-05T21:50:36.900Z,0,0,1
2018-02-12T03:08:29.180Z,0,0,1
2018-01-17T19:07:19.240Z,0,0,1
2017-11-19T12:37:45.020Z,0,0,1
2017-07-01T08:10:33.340Z,0,0,1
2017-03-06T20:12:08.600Z,0,0,1
2016-12-09T07:21:50.550Z,0,0,1
2016-12-03T09:01:43.000Z,0,0,1
2016-10-25T16:53:00.820Z,0,0,1
2016-10-24T14:44:11.170Z,0,0,1
2016-07-30T20:21:38.390Z,0,0,1
2016-06-23T14:37:56.680Z,0,0,1
2016-05-02T10:36:57.300Z,0,0,1
2015-09-13T01:04:35.130Z,0,0,1
2015-04-24T15:02:54.100Z,0,0,1
2015-03-04T00:00:04.350Z,0,0,1
2023-09-18T03:10:14.744Z,0,0,1
2022-11-09T06:07:26.657Z,0,0,1
2021-03-27T13:47:55.267Z,0,0,1
2020-12-29T11:19:54.762Z,0,0,1
2020-03-22T05:24:03.700Z,0,0,1
2017-01-18T13:33:38.000Z,0,0,1
2017-01-18T10:25:25.490Z,0,0,1
2017-01-18T10:14:10.980Z,0,0,1
2017-01-18T09:25:41.610Z,0,0,1
2016-10-30T06:40:18.670Z,0,0,1
2016-10-26T19:18:08.430Z,0,0,1
2016-10-26T17:10:37.210Z,0,0,1
2016-08-24T02:33:29.450Z,0,0,1
2016-08-24T01:36:32.870Z,0,0,1
2013-07-21T01:32:24.000Z,0,0,1
2013-06-21T10:33:57.000Z,0,0,1
2012-06-03T19:20:43.000Z,0,0,1
2012-05-29T11:00:25.050Z,0,0,1
2012-05-29T10:55:57.000Z,0,0,1
2012-05-29T07:00:03.000Z,0,0,1
2012-05-20T13:18:02.000Z,0,0,1
2012-05-20T02:03:52.000Z,0,0,1
2012-01-27T14:53:13.000Z,0,0,1
2009-04-13T21:14:24.000Z,0,0,1
2009-04-09T19:38:17.360Z,0,0,1
2009-04-09T00:52:59.000Z,0,0,1
2009-04-06T23:15:37.000Z,0,0,1
2008-12-23T21:58:25.000Z,0,0,1
2008-12-23T15:24:22.470Z,0,0,1
2005-04-18T06:42:50.700Z,0,0,1
